0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0100 0000 0001 0000 0011 1110 1000  Opcode:  ADDI | Rs = R0 | Rt = R1  | Imm = 1000 
0000 0100 0000 0010 0000 0100 1011 0000  Opcode:  ADDI | Rs = R0 | Rt = R2  | Imm = 1200 
0000 0000 0000 0000 0011 1000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R7 
0000 0000 0000 0000 0100 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R8 
0000 0000 0000 0000 0100 1000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R9 
0000 0000 0000 0000 0101 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R10 
0000 0100 0000 1011 0000 0000 0011 0010  Opcode:  ADDI | Rs = R0 | Rt = R11 | Imm = 50 
0000 0100 0000 1100 0000 0000 0010 0000  Opcode:  ADDI | Rs = R0 | Rt = R12 | Imm = 32 
0011 1101 0100 1011 0000 0000 0000 1101  Opcode:  BEQ  | Rs = R10| Rt = R11 | Imm = 13 
0011 0000 0010 0011 0000 0000 0000 0000  Opcode:  LDW  | Rs = R1 | Rt = R3  | Imm = 0 
0011 0000 0100 0100 0000 0000 0000 0000  Opcode:  LDW  | Rs = R2 | Rt = R4  | Imm = 0 
0000 1000 0110 0100 0010 1000 0000 0000  Opcode:  SUB  | Rs = R3 | Rt = R4  | Rd = R5 
0010 0100 1010 0110 0000 0000 0000 0001  Opcode:  ANDI | Rs = R5 | Rt = R6  | Imm = 1 
0011 1000 1100 0000 0000 0000 0000 0010  Opcode:  BZ   | Rs = R6 | Rt = R0  | Imm = 2 
0000 0100 1110 0111 0000 0000 0000 0001  Opcode:  ADDI | Rs = R7 | Rt = R7  | Imm = 1 
0000 0001 0000 0011 0100 0000 0000 0000  Opcode:  ADD  | Rs = R8 | Rt = R3  | Rd = R8 
0000 0001 0010 0100 0100 1000 0000 0000  Opcode:  ADD  | Rs = R9 | Rt = R4  | Rd = R9 
0000 0100 0010 0001 0000 0000 0000 0100  Opcode:  ADDI | Rs = R1 | Rt = R1  | Imm = 4 
0000 0100 0100 0010 0000 0000 0000 0100  Opcode:  ADDI | Rs = R2 | Rt = R2  | Imm = 4 
0000 0101 0100 1010 0000 0000 0000 0001  Opcode:  ADDI | Rs = R10| Rt = R10 | Imm = 1 
0100 0001 1000 0000 0000 0000 0000 0000  Opcode:  JR   | Rs = R12| Rt = R0  | Imm = 0 
0011 0100 0000 0111 0000 0101 0111 1000  Opcode:  STW  | Rs = R0 | Rt = R7  | Imm = 1400 
0011 0100 0000 1000 0000 0101 0111 1100  Opcode:  STW  | Rs = R0 | Rt = R8  | Imm = 1404 
0011 0100 0000 1001 0000 0101 1000 0000  Opcode:  STW  | Rs = R0 | Rt = R9  | Imm = 1408 
0100 0100 0000 0000 0000 0000 0000 0000  Opcode:  HALT | Rs = R0 | Rt = R0  | Imm = 0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0011 1000 1100 0000 0000 0000 0000 0010  Opcode:  BZ   | Rs = R6 | Rt = R0  | Imm = 2 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0000 0000 0000 0000 0000 0000 0000 0000  Opcode:  ADD  | Rs = R0 | Rt = R0  | Rd = R0 
0010 0100 1010 0110 0000 0000 0000 0001  Opcode:  ANDI | Rs = R5 | Rt = R6  | Imm = 1 
0000 0100 0010 0010 1111 1111 1111 1110  Opcode:  ADDI | Rs = R1 | Rt = R2  | Imm = -2 
0011 1101 0100 1011 0000 0000 0000 1101  Opcode:  BEQ  | Rs = R10| Rt = R11 | Imm = 13 
0000 0001 0000 0011 0100 0000 0000 0000  Opcode:  ADD  | Rs = R8 | Rt = R3  | Rd = R8 
0000 0100 0000 0010 0000 0100 1011 0000  Opcode:  ADDI | Rs = R0 | Rt = R2  | Imm = 1200 
The program counter has a final value of 4096 
Total number of R-Type Instructions = 947 
Total number of I-Type Instructions = 77 
Total number of Arithmetic Instructions = 979 
Total number of Logical Instructions = 6 
Total number of Memory Access Instructions = 20 
Total number of Control Transfer Instructions = 19 
Total number of Instructions = 1024 
The last instruction had Opcode=1, Rs=0, Rt=2, Rd=0, Imm=1200 
The instruction before last had Opcode=0, Rs=8, Rt=3, Rd=8, Imm=0 
The instruction 2 before last had Opcode=15, Rs=10, Rt=11, Rd=0, Imm=13 
The instruction 3 before last had Opcode=1, Rs=1, Rt=2, Rd=0, Imm=-2 
The instruction 4 before last had Opcode=9, Rs=5, Rt=6, Rd=0, Imm=1 
